"lp","wojewodztwo","woj","WOJ2","powiat","pow","POW2","gmina","gmi","GMI","TERYT","miasto","lok","ubiegal","operator","odpowiedz","termininw","innaodp","data"
137,"MAZOWIECKIE",14,14,"wołomiński",34,34,"Powiętne (gmina wiejska)",8,"08","143408","Jadwiniew",,1,1,2,4,,"2012-10-09 14:43"
138,"MAZOWIECKIE",14,14,"wołomiński",34,34,"Powiętne (gmina wiejska)",8,"08","143408","Jadwiniew",,1,1,1,0,,"2012-10-09 14:43"
139,"KUJAWSKO-POMORSKIE",4,"04","toruński",15,15,"Zławie Wielka (gmina wiejska)",9,"09","041509","Rozgarty","Zielony Zakštek i Lisia",1,2,3,0,"Nieopłacalna inwestycja. Zgłosiłem chęć przyłšczenia do sieci wraz z 7 osobami i otrzymałem odpowied z TP, że w tej chwili nie ma pieniędzy na żadne inwestycje.","2012-10-09 14:46"
140,"ZACHODNIOPOMORSKIE",32,32,"kołobrzeski",8,"08","Ustronie Morskie (gmina wiejska)",7,"07","320807","Rusowo",,1,3,1,0,,"2012-10-09 14:47"
141,"LUBELSKIE",6,"06","radzyński",15,15,"Borki (gmina wiejska)",2,"02","061502","Tchórzew-Kolonia",,1,2,1,0,,"2012-10-09 14:48"
142,"WIELKOPOLSKIE",30,30,"kaliski",7,"07","Kominek (gmina wiejska)",5,"05","300705","Dębsko",,1,3,1,0,,"2012-10-09 14:54"
143,"MAŁOPOLSKIE",12,12,"brzeski",2,"02","Brzesko (gmina miejsko-wiejska)",2,"02","120202","Mokrzyska","Trakt Królewski",1,3,1,0,,"2012-10-09 14:55"
144,"WIELKOPOLSKIE",30,30,"czarnkowsko-trzcianecki",2,"02","Czarnków (gmina wiejska)",2,"02","300202","Gajewo","Gajewo",1,5,3,0,"brak mozliwosci technicznych,internet sieci komorkowych b.slaby zasieg.","2012-10-09 14:58"
145,"MAZOWIECKIE",14,14,"Warszawa",65,65,"Warszawa (gmina miejska, miasto stołeczne)",1,"01","146501","Warszawa","Borowiecka 77",1,2,1,0,,"2012-10-09 15:00"
146,"PODKARPACKIE",18,18,"kolbuszowski",6,"06","Majdan Królewski (gmina wiejska)",3,"03","180603","Majdan Królewski","plac Konfederatów barskich",1,2,3,0,"brak nadajnika","2012-10-09 15:01"
147,"KUJAWSKO-POMORSKIE",4,"04","bydgoski",3,"03","Osielsko (gmina wiejska)",6,"06","040306","Jarużyn","Sołecka",1,5,1,0,,"2012-10-09 15:04"
148,"MAŁOPOLSKIE",12,12,"mylenicki",9,"09","Mylenice (gmina miejsko-wiejska)",3,"03","120903","Mylenice","Okulickiego",2,0,0,0,,"2012-10-09 15:09"
149,"WIELKOPOLSKIE",30,30,"kaliski",7,"07","Opatówek (gmina wiejska)",8,"08","300708","Porwity",,1,1,1,0,,"2012-10-09 15:14"
150,"POMORSKIE",22,22,"starogardzki",13,13,"Starogard Gdański (gmina wiejska)",12,12,"221312","Nowa Wie Rzeczna","Os. Witosa 13",1,2,3,0,"przyczym  dla UPC faktycznie w okolicy nie ma przyłšczeń natomiast dla TP SA ""brak możliwoci technicznych"" to niechęć do przycišgnięcia nam 50m kabla od ostatniego słupka gdzie byłaby wolna para","2012-10-09 15:17"
151,"MAZOWIECKIE",14,14,"siedlecki",26,26,"Suchożebry (gmina wiejska)",10,10,"142610","Borki siedleckie",,1,1,1,0,,"2012-10-09 15:22"
152,"MAZOWIECKIE",14,14,"pruszkowski",21,21,"Raszyn (gmina wiejska)",6,"06","142106","Dawidy Bankowe","Bankowa - cała ulica",1,3,1,0,,"2012-10-09 15:23"
153,"PODLASKIE",20,20,"bielski",3,"03","Bielsk Podlaski (gmina wiejska)",3,"03","200303","Mokre",,1,1,1,0,,"2012-10-09 15:27"
154,"MAZOWIECKIE",14,14,"miński",12,12,"Sulejówek (gmina miejska)",15,15,"141215","Sulejówek","Francuska",1,2,1,0,,"2012-10-09 15:30"
155,"LUBELSKIE",6,"06","rycki",16,16,"Dęblin (gmina miejska)",1,"01","061601","Stawy",,1,3,3,0,"Telekomunikacja Kolejowa - brak portów na centrali mimo, iż okablowanie jest zainstalowane w blokah.","2012-10-09 15:35"
156,"MAZOWIECKIE",14,14,"legionowski",8,"08","Nieporęt (gmina wiejska)",3,"03","140803","Rynia",,1,3,1,0,,"2012-10-09 15:42"
157,"MAŁOPOLSKIE",12,12,"olkuski",12,12,"Wolbrom (gmina miejsko-wiejska)",7,"07","121207","Zarzecze","Krótka",1,2,1,0,,"2012-10-09 15:42"
158,"DOLNOLĽSKIE",2,"02","wrocławski",23,23,"Siechnice (gmina miejsko-wiejska)",8,"08","022308","Kotowice",,1,5,1,0,,"2012-10-09 15:46"
159,"ZACHODNIOPOMORSKIE",32,32,"policki",11,11,"Dobra (Szczecińska) (gmina wiejska)",1,"01","321101","Kocino","Żurawia",1,2,1,0,,"2012-10-09 15:49"
160,"MAŁOPOLSKIE",12,12,"limanowski",7,"07","Limanowa (gmina wiejska)",7,"07","120707","Stara Wie",,1,1,3,0,"Odp od TP 

""Koszt podłšczenia usługi to 36 000zł""","2012-10-09 15:51"
161,"ZACHODNIOPOMORSKIE",32,32,"kamieński",7,"07","Wolin (gmina miejsko-wiejska)",6,"06","320706","Wisełka","wierkowa",1,1,1,0,,"2012-10-09 15:51"
162,"OPOLSKIE",16,16,"nyski",7,"07","Głuchołazy (gmina miejsko-wiejska)",1,"01","160701","Nowy Swietow",,1,2,1,0,,"2012-10-09 15:51"
163,"ZACHODNIOPOMORSKIE",32,32,"białogardzki",1,"01","Tychowo (gmina miejsko-wiejska)",4,"04","320104","Buczki",,1,4,1,0,,"2012-10-09 15:52"
164,"WIĘTOKRZYSKIE",26,26,"jędrzejowski",2,"02","Wodzisław (gmina wiejska)",9,"09","260209","Mieronice",,1,1,1,0,,"2012-10-09 15:54"
165,"DOLNOLĽSKIE",2,"02","bolesławiecki",1,"01","Bolesławiec (gmina wiejska)",2,"02","020102","Kraszowice",,1,3,1,0,,"2012-10-09 15:56"
166,"WIELKOPOLSKIE",30,30,"poznański",21,21,"Kleszczewo (gmina wiejska)",6,"06","302106","tulce","pocztowa 13",1,3,3,0,"Tpsa - brak inwestycji w sieć kablowš (20m od słupka do domu),ale modem wysłali :), INEA, Netia -brak zasięgu","2012-10-09 15:57"
167,"MAZOWIECKIE",14,14,"otwocki",17,17,"Józefów (gmina miejska)",1,"01","141701","Józefów","Dworkowa (Dawna Rolnicza)",1,4,1,0,,"2012-10-09 16:00"
168,"ŁÓDZKIE",10,10,"radomszczański",12,12,"Przedbórz (gmina miejsko-wiejska)",11,11,"101211","Żelenica",,1,1,1,0,,"2012-10-09 16:03"
169,"MAZOWIECKIE",14,14,"wołomiński",34,34,"Powiętne (gmina wiejska)",8,"08","143408","Czubajowizna",,1,2,1,0,,"2012-10-09 16:03"
170,"ŁÓDZKIE",10,10,"bełchatowski",1,"01","Drużbice (gmina wiejska)",3,"03","100103","Rasy",,1,3,1,0,,"2012-10-09 16:06"
171,"WIELKOPOLSKIE",30,30,"wolsztyński",29,29,"Siedlec (gmina wiejska)",2,"02","302902","Stara Tuchorza",,1,1,1,0,,"2012-10-09 16:06"
172,"WIELKOPOLSKIE",30,30,"wolsztyński",29,29,"Siedlec (gmina wiejska)",2,"02","302902","Stara Tuchorza",,2,0,0,0,,"2012-10-09 16:07"
173,"ŁÓDZKIE",10,10,"bełchatowski",1,"01","Drużbice (gmina wiejska)",3,"03","100103","Rasy",,1,2,1,0,,"2012-10-09 16:07"
174,"MAZOWIECKIE",14,14,"wołomiński",34,34,"Powiętne (gmina wiejska)",8,"08","143408","Czubajowizna",,1,2,1,0,,"2012-10-09 16:08"
175,"PODKARPACKIE",18,18,"strzyżowski",19,19,"Strzyżów (gmina miejsko-wiejska)",4,"04","181904","Godowa",,1,2,1,0,,"2012-10-09 16:18"
176,"MAŁOPOLSKIE",12,12,"krakowski",6,"06","Michałowice (gmina wiejska)",8,"08","120608","Michałowice","Mały Kraków",1,4,1,0,,"2012-10-09 16:20"
177,"WIELKOPOLSKIE",30,30,"złotowski",31,31,"Lipka (gmina wiejska)",4,"04","303104","Wielki Buczek ",,1,1,1,0,,"2012-10-09 16:22"
178,"LĽSKIE",24,24,"lubliniecki",7,"07","Kochanowice (gmina wiejska)",5,"05","240705","Kochanowice","Karwieńca",1,1,1,0,,"2012-10-09 16:29"
179,"MAŁOPOLSKIE",12,12,"nowosšdecki",10,10,"Kamionka Wielka (gmina wiejska)",5,"05","121005","Kamionka Mała",,1,1,1,0,,"2012-10-09 16:32"
180,"LUBELSKIE",6,"06","Lublin",63,63,"Lublin (gmina miejska)",1,"01","066301","Lublin","Macieja Rataja",1,1,1,0,,"2012-10-09 16:33"
181,"LĽSKIE",24,24,"będziński",1,"01","Czelad (gmina miejska)",2,"02","240102","Czelad","Kosmonautów",2,0,0,0,,"2012-10-09 16:33"
182,"MAZOWIECKIE",14,14,"Warszawa",65,65,"Warszawa (gmina miejska, miasto stołeczne)",1,"01","146501","białołęka","wilkowiecka",1,2,1,0,,"2012-10-09 16:36"
183,"LĽSKIE",24,24,"kłobucki",6,"06","Opatów (gmina wiejska)",5,"05","240605","waleńczów","słoneczna",1,1,1,0,,"2012-10-09 16:37"
184,"MAZOWIECKIE",14,14,"ostrołęcki",15,15,"Baranowo (gmina wiejska)",1,"01","141501","Zawady",,2,0,0,0,,"2012-10-09 16:38"
185,"MAZOWIECKIE",14,14,"Warszawa",65,65,"Warszawa (gmina miejska, miasto stołeczne)",1,"01","146501","Warszawa","Wólczyńska 299B/2",1,6,1,0,,"2012-10-09 16:50"
186,"MAZOWIECKIE",14,14,"legionowski",8,"08","Nieporęt (gmina wiejska)",3,"03","140803","Józefów","Niecała",1,3,1,0,,"2012-10-09 16:50"
187,"PODKARPACKIE",18,18,"strzyżowski",19,19,"Strzyżów (gmina miejsko-wiejska)",4,"04","181904","Żyznów",,1,1,1,0,,"2012-10-09 16:51"
188,"WARMIŃSKO-MAZURSKIE",28,28,"elblšski",4,"04","Tolkmicko (gmina miejsko-wiejska)",9,"09","280409","Suchacz",,1,2,1,0,,"2012-10-09 16:51"
189,"KUJAWSKO-POMORSKIE",4,"04","bydgoski",3,"03","Koronowo (gmina miejsko-wiejska)",4,"04","040304","Tryszczyn","Lena",1,4,1,0,,"2012-10-09 16:52"
190,"PODKARPACKIE",18,18,"strzyżowski",19,19,"Strzyżów (gmina miejsko-wiejska)",4,"04","181904","Bonarówka",,1,1,1,0,,"2012-10-09 16:53"
191,"WIELKOPOLSKIE",30,30,"leszczyński",13,13,"Rydzyna (gmina miejsko-wiejska)",4,"04","301304","Dšbcze","Sikorskiego",1,1,1,0,,"2012-10-09 16:53"
192,"PODKARPACKIE",18,18,"strzyżowski",19,19,"Strzyżów (gmina miejsko-wiejska)",4,"04","181904","Brzeżanka",,1,2,1,0,,"2012-10-09 16:54"
193,"MAZOWIECKIE",14,14,"przasnyski",22,22,"Przasnysz (gmina wiejska)",7,"07","142207","Szla",,1,4,1,0,,"2012-10-09 16:55"
194,"ŁÓDZKIE",10,10,"opoczyński",7,"07","Powiętne (gmina wiejska)",6,"06","100706","Ponikła",,2,0,0,0,,"2012-10-09 16:59"
195,"MAZOWIECKIE",14,14,"wołomiński",34,34,"Radzymin (gmina miejsko-wiejska)",9,"09","143409","Radzymin","Partyzantów",1,1,1,0,,"2012-10-09 17:00"
196,"MAZOWIECKIE",14,14,"ostrołęcki",15,15,"Rzekuń (gmina wiejska)",10,10,"141510","Laskowiec","Szkolna",1,1,1,0,,"2012-10-09 17:01"
197,"WIELKOPOLSKIE",30,30,"chodzieski",1,"01","Chodzież (gmina wiejska)",3,"03","300103","Stróżewko",,1,3,1,0,,"2012-10-09 17:01"
198,"LUBELSKIE",6,"06","chełmski",3,"03","Wojsławice (gmina wiejska)",13,13,"060313","Wojsławice","chełmska",1,1,1,0,,"2012-10-09 17:03"
199,"POMORSKIE",22,22,"lęborski",8,"08","Nowa Wie Lęborska (gmina wiejska)",4,"04","220804","Redkowice",,1,2,1,0,,"2012-10-09 17:05"
200,"DOLNOLĽSKIE",2,"02","kłodzki",8,"08","Stronie lšskie (gmina miejsko-wiejska)",13,13,"020813","Bolesławów","Bolesławów 52",1,2,1,0,,"2012-10-09 17:05"
201,"MAZOWIECKIE",14,14,"Radom",63,63,"Radom (gmina miejska)",1,"01","146301","Radom","Łšczna 32/1",1,1,3,0,"brak infrastruktury technicznej koszt ewentualnej inwestycji w rozbudowę po stronie klienta 12.000 zł","2012-10-09 17:06"
202,"ZACHODNIOPOMORSKIE",32,32,"koszaliński",9,"09","wieszyno (gmina wiejska)",8,"08","320908","Chłopska Kępa",,1,1,3,0,"Sš możliwoci techniczne, ale trzeba pokryć koszty inwestycji w kwocie 2000,00 zł. Na razie nie stać nas na takie wyjcie.","2012-10-09 17:06"
203,"LUBELSKIE",6,"06","chełmski",3,"03","Wojsławice (gmina wiejska)",13,13,"060313","Wojsławice","ul. Chełmska",1,3,3,0,"Brak jakiego przyłšcza uniemożliwia dostęp do internetu, podobno jest 100 i wszystkie zajęte, a internet potrzebuje mieć ok 500 os.","2012-10-09 17:07"
204,"MAZOWIECKIE",14,14,"kozienicki",7,"07","Kozienice (gmina miejsko-wiejska)",5,"05","140705","Lipinki",,1,4,1,0,,"2012-10-09 17:08"
205,"WIĘTOKRZYSKIE",26,26,"kazimierski",3,"03","Kazimierza Wielka (gmina miejsko-wiejska)",3,"03","260303","Słonowice",,1,2,2,3,,"2012-10-09 17:13"
206,"ZACHODNIOPOMORSKIE",32,32,"kołobrzeski",8,"08","Rymań (gmina wiejska)",5,"05","320805","Kamień Rymański",,1,2,1,0,,"2012-10-09 17:19"
207,"KUJAWSKO-POMORSKIE",4,"04","bydgoski",3,"03","Osielsko (gmina wiejska)",6,"06","040306","NIEMCZ","SANECZKARZY",1,2,1,0,,"2012-10-09 17:23"
208,"DOLNOLĽSKIE",2,"02","kłodzki",8,"08","Kłodzko (gmina wiejska)",7,"07","020807","Skrzynka",,1,2,1,0,,"2012-10-09 17:28"
209,"ZACHODNIOPOMORSKIE",32,32,"szczecinecki",15,15,"Grzmišca (gmina wiejska)",5,"05","321505","Przeradz",,1,2,1,0,,"2012-10-09 17:37"
210,"KUJAWSKO-POMORSKIE",4,"04","lipnowski",8,"08","Skępe (gmina miejsko-wiejska)",7,"07","040807","Szczekarzewo","albatrosów",1,1,1,0,,"2012-10-09 18:05"
211,"MAŁOPOLSKIE",12,12,"tarnowski",16,16,"Zakliczyn (gmina miejsko-wiejska)",14,14,"121614","Palenica",,1,3,1,0,,"2012-10-09 18:09"
212,"MAŁOPOLSKIE",12,12,"chrzanowski",3,"03","Trzebinia (gmina miejsko-wiejska)",5,"05","120305","Trzebinia Siersza","Grunwaldzka",1,1,3,0,"umowa podpisana i rozwišzana gdyż operator ma taki bajzel że nie wie że nie ma podłšcza do naszego bloku, a wszyscy w około majš to jest żenada,","2012-10-09 18:09"
213,"LUBELSKIE",6,"06","włodawski",19,19,"Włodawa (gmina wiejska)",6,"06","061906","Żuków",,2,0,0,0,,"2012-10-09 18:16"
214,"LUBUSKIE",8,"08","Zielona Góra",62,62,"Zielona Góra (gmina miejska)",1,"01","086201","Kargowa","zaułek szczęnika",1,3,1,0,,"2012-10-09 18:24"
215,"WIĘTOKRZYSKIE",26,26,"buski",1,"01","Wilica (gmina wiejska)",8,"08","260108","jurków",,1,3,1,0,,"2012-10-09 18:26"
216,"WIELKOPOLSKIE",30,30,"nowotomyski",15,15,"Nowy Tomyl (gmina miejsko-wiejska)",4,"04","301504","JASTRZĘBSKO STARE","NOWOTOMYSKA",1,2,1,0,,"2012-10-09 18:26"
217,"WIĘTOKRZYSKIE",26,26,"buski",1,"01","Wilica (gmina wiejska)",8,"08","260108","jurków",,1,3,1,0,,"2012-10-09 18:27"
218,"WIELKOPOLSKIE",30,30,"nowotomyski",15,15,"Nowy Tomyl (gmina miejsko-wiejska)",4,"04","301504","Jastrzębsko Stare",,1,2,1,0,,"2012-10-09 18:28"
219,"WARMIŃSKO-MAZURSKIE",28,28,"elblšski",4,"04","Godkowo (gmina wiejska)",2,"02","280402","Zimnochy",,1,1,1,0,,"2012-10-09 18:28"
220,"WIELKOPOLSKIE",30,30,"jarociński",6,"06","Żerków (gmina miejsko-wiejska)",4,"04","300604","Pawłowice",,1,3,1,0,,"2012-10-09 18:31"
221,"MAZOWIECKIE",14,14,"ostrołęcki",15,15,"Lelis (gmina wiejska)",6,"06","141506","Białobiel","Ostrołęcka",1,2,1,0,,"2012-10-09 18:31"
222,"MAŁOPOLSKIE",12,12,"owięcimski",13,13,"Brzeszcze (gmina miejsko-wiejska)",2,"02","121302","brzeszcze","mieszka 1 ",1,2,1,0,,"2012-10-09 18:33"
223,"ŁÓDZKIE",10,10,"sieradzki",14,14,"Goszczanów (gmina wiejska)",6,"06","101406","Wroniawy",,1,2,1,0,,"2012-10-09 18:37"
224,"MAŁOPOLSKIE",12,12,"owięcimski",13,13,"Brzeszcze (gmina miejsko-wiejska)",2,"02","121302","brzeszcze","mieszka 1",1,2,1,0,,"2012-10-09 18:37"
225,"LUBELSKIE",6,"06","włodawski",19,19,"Włodawa (gmina wiejska)",6,"06","061906","orchówek",,2,0,0,0,,"2012-10-09 18:37"
226,"MAZOWIECKIE",14,14,"garwoliński",3,"03","Trojanów (gmina wiejska)",12,12,"140312","Majdan",,2,0,0,0,,"2012-10-09 18:39"
227,"WIĘTOKRZYSKIE",26,26,"sandomierski",9,"09","Sandomierz (gmina miejska)",1,"01","260901","Sandomierz","Błonie",1,2,1,0,,"2012-10-09 18:46"
228,"LUBELSKIE",6,"06","Lublin",63,63,"Lublin (gmina miejska)",1,"01","066301","Lublin","Probostwo",1,4,3,0,"W budynku Probostwo 4 działa tylko neostrada TP/Orange. Netia, UPC i lokalna sieć osiedlowa działajš na tej ulicy ale nie w tym budynku. Zgłaszałem do tych operatorów chęć korzystania z ich sieci, jednak nie opłaca im się podłšczać mojego budynku.

A TP/Orange daje mi tylko 6MB - od kilku lat, przy każdym przedłużaniu rocznych umów składam wniosek na szybszy internet ale za każdym razem otrzymuję informację, że co prawda stan linii telefonicznej jest dobry, ale na centrali nie ma odpowiednich DS","2012-10-09 18:51"
229,"MAZOWIECKIE",14,14,"pruszkowski",21,21,"Pruszków (gmina miejska)",2,"02","142102","Pruszków","Stokrotki",1,3,1,0,,"2012-10-09 18:56"
230,"MAZOWIECKIE",14,14,"węgrowski",33,33,"Sadowne (gmina wiejska)",7,"07","143307","Orzełek",,0,0,0,0,,"2012-10-09 19:00"
231,"LUBUSKIE",8,"08","nowosolski",4,"04","Bytom Odrzański (gmina miejsko-wiejska)",2,"02","080402","Bycz",,1,1,1,0,,"2012-10-09 19:05"
232,"MAZOWIECKIE",14,14,"wołomiński",34,34,"Wołomin (gmina miejsko-wiejska)",12,12,"143412","Helenó","Boryny",1,1,1,0,,"2012-10-09 19:23"
233,"LĽSKIE",24,24,"bielski",2,"02","Bestwina (gmina wiejska)",2,"02","240202","Bestwina","Podleska",2,0,0,0,,"2012-10-09 19:30"
234,"WIĘTOKRZYSKIE",26,26,"kielecki",4,"04","Zagnańsk (gmina wiejska)",19,19,"260419","Kajetanów",,1,1,3,0,"Brak linii telefonicznej i jakiejkolwiek infrastruktury telekomunikacji na liniach telefonicznych","2012-10-09 19:40"
235,"KUJAWSKO-POMORSKIE",4,"04","wiecki",14,14,"Dragacz (gmina wiejska)",2,"02","041402","Fletnowo",,1,10,1,0,,"2012-10-09 19:42"
236,"MAŁOPOLSKIE",12,12,"krakowski",6,"06","Zielonki (gmina wiejska)",17,17,"120617","Węgrzce","C13",1,1,3,0,"stara ifrastruktura neostrada ledwie 2Mbit/s

Telekomunikacja ma gotowy projekt na poprawienie stanu lecz podobno nie ma pieniiedzy na zrealizowanie go.

W pobliżu 3 osiedla i około 200 domów","2012-10-09 19:45"
237,"KUJAWSKO-POMORSKIE",4,"04","brodnicki",2,"02","Brodnica (gmina miejska)",1,"01","040201","Bartniki","bartniki 12",1,10,1,0,,"2012-10-09 19:46"
238,"KUJAWSKO-POMORSKIE",4,"04","brodnicki",2,"02","Brodnica (gmina miejska)",1,"01","040201","Brodnica","Lipowa4",1,3,1,0,,"2012-10-09 19:47"
239,"MAZOWIECKIE",14,14,"legionowski",8,"08","Nieporęt (gmina wiejska)",3,"03","140803","Nieporęt","Zwycięstwa",1,1,1,0,,"2012-10-09 19:48"
240,"LUBELSKIE",6,"06","zamojski",20,20,"Zwierzyniec (gmina miejsko-wiejska)",15,15,"062015","Zwierzyniec","torowa",1,2,1,0,,"2012-10-09 19:50"
241,"DOLNOLĽSKIE",2,"02","wrocławski",23,23,"Kobierzyce (gmina wiejska)",5,"05","022305","Tyniec Mały","Boczna",1,3,1,0,,"2012-10-09 19:52"
242,"MAŁOPOLSKIE",12,12,"wielicki",19,19,"Biskupice (gmina wiejska)",1,"01","121901","Tršbki",,1,2,1,0,,"2012-10-09 20:00"
243,"PODLASKIE",20,20,"augustowski",1,"01","Lipsk (gmina miejsko-wiejska)",4,"04","200104","Krasne",,1,1,1,0,,"2012-10-09 20:03"
244,"WIELKOPOLSKIE",30,30,"gnienieński",3,"03","Łubowo (gmina wiejska)",6,"06","300306","Wierzyce",,1,3,1,0,,"2012-10-09 20:03"
245,"KUJAWSKO-POMORSKIE",4,"04","Toruń",63,63,"Toruń (gmina miejska)",1,"01","046301","Toruń","Telimeny ",1,3,1,0,,"2012-10-09 20:04"
246,"WIELKOPOLSKIE",30,30,"gnienieński",3,"03","Czerniejewo (gmina miejsko-wiejska)",2,"02","300302","Lipki",,1,2,1,0,,"2012-10-09 20:04"
247,"LUBELSKIE",6,"06","tomaszowski",18,18,"Susiec (gmina wiejska)",8,"08","061808","susiec","tomaszowska",1,2,1,0,,"2012-10-09 20:06"
248,"MAŁOPOLSKIE",12,12,"wadowicki",18,18,"Spytkowice (gmina wiejska)",6,"06","121806","Spytkowice",,1,1,1,0,,"2012-10-09 20:16"
249,"DOLNOLĽSKIE",2,"02","Wrocław",64,64,"Wrocław (gmina miejska)",1,"01","026401","wrocław","stryjska 13",1,2,1,0,,"2012-10-09 20:18"
250,"ZACHODNIOPOMORSKIE",32,32,"sławieński",13,13,"Postomino (gmina wiejska)",5,"05","321305","Tyn",,1,4,1,0,,"2012-10-09 20:19"
251,"KUJAWSKO-POMORSKIE",4,"04","brodnicki",2,"02","Brodnica (gmina wiejska)",3,"03","040203","bartniki","bartniki",1,10,1,0,,"2012-10-09 20:22"
252,"PODLASKIE",20,20,"wysokomazowiecki",13,13,"Klukowo (gmina wiejska)",4,"04","201304","Usza Wielka",,1,2,1,0,,"2012-10-09 20:26"
253,"ZACHODNIOPOMORSKIE",32,32,"policki",11,11,"Nowe Warpno (gmina miejsko-wiejska)",3,"03","321103","Brzózki",,1,4,1,0,,"2012-10-09 20:27"
254,"LUBUSKIE",8,"08","żagański",10,10,"Żagań (gmina wiejska)",9,"09","081009","Dobre nad Kwisš",,1,2,1,0,,"2012-10-09 20:28"
255,"KUJAWSKO-POMORSKIE",4,"04","brodnicki",2,"02","Bobrowo (gmina wiejska)",2,"02","040202","bartniki","bartniki",1,10,1,0,,"2012-10-09 20:30"
256,"KUJAWSKO-POMORSKIE",4,"04","brodnicki",2,"02","Brodnica (gmina wiejska)",3,"03","040203","bartniki","bartniki ",1,10,1,0,,"2012-10-09 20:31"
257,"PODLASKIE",20,20,"wysokomazowiecki",13,13,"Czyżew (gmina miejsko-wiejska)",3,"03","201303","Jawiny-Koczoty","Cała miejscowoć i okolice",2,0,0,0,,"2012-10-09 20:34"
258,"MAŁOPOLSKIE",12,12,"nowotarski",11,11,"Spytkowice (gmina wiejska)",13,13,"121113","Spytkowice",,1,2,1,0,,"2012-10-09 20:38"
259,"PODLASKIE",20,20,"grajewski",4,"04","Rajgród (gmina miejsko-wiejska)",4,"04","200404","Rybczyzna",,1,1,1,0,,"2012-10-09 20:39"
260,"WIELKOPOLSKIE",30,30,"poznański",21,21,"Murowana Golina (gmina miejsko-wiejska)",11,11,"302111","Głębocko","Zacisze",1,1,3,0,"Brak miejsca w stacji bazowej NETIA","2012-10-09 20:42"
261,"DOLNOLĽSKIE",2,"02","wrocławski",23,23,"Kobierzyce (gmina wiejska)",5,"05","022305","Tyniec Mały","Rubinowa",1,1,2,4,,"2012-10-09 20:42"
262,"PODLASKIE",20,20,"grajewski",4,"04","Wšsosz (gmina wiejska)",6,"06","200406","teren całej gminy",,2,0,0,0,,"2012-10-09 20:55"
263,"MAZOWIECKIE",14,14,"garwoliński",3,"03","Miastków Kocielny (gmina wiejska)",8,"08","140308","Brzegi",,1,2,1,0,,"2012-10-09 20:57"
264,"WIELKOPOLSKIE",30,30,"poznański",21,21,"Buk (gmina miejsko-wiejska)",3,"03","302103","Buk","Szkolna",1,1,3,0,"Pan który miał założyć internet powiedział że teraz nie może być podcišgnięty,spytał się gdzie chcielimy by mieć podcišgnięty kabel z skrzynki-włazu telekomunikacyjnego po czym żadnej odpowiedzi. Czekamy już ponad 7 lat.","2012-10-09 21:03"
265,"WIELKOPOLSKIE",30,30,"gnienieński",3,"03","Kłecko (gmina miejsko-wiejska)",5,"05","300305","Dębnica",,1,2,3,0,"Telekomunikacja Polska - Brak możliwoci technicznych.

Uratowała mnie firma INEA dajšc dostęp do internetu przez Wimax. Jednak TP (Orange) powinno być też dostępne i wiadczy dostęp o wiele szybszy niż 3 czy 6 Mb/s","2012-10-09 21:05"
266,"DOLNOLĽSKIE",2,"02","wałbrzyski",21,21,"Mieroszów (gmina miejsko-wiejska)",6,"06","022106","Mieroszów","Lena",1,1,3,0,"Jedyny operator wiadczšcy usługi na kablu - TPSA. Brak możliwoci technicznych.","2012-10-09 21:16"
267,"MAZOWIECKIE",14,14,"grodziski",5,"05","Żabia Wola (gmina wiejska)",6,"06","140506","Wycinki Osowskie","Radosna 15",1,2,1,0,,"2012-10-09 21:29"
268,"KUJAWSKO-POMORSKIE",4,"04","tucholski",16,16,"Cekcyn (gmina wiejska)",1,"01","041601","Kowalskie Błota",,1,1,1,0,,"2012-10-09 21:31"
269,"MAŁOPOLSKIE",12,12,"tarnowski",16,16,"Szerzyny (gmina wiejska)",16,16,"121616","Żurowa","Żurowa",1,3,1,0,,"2012-10-09 21:34"
270,"MAŁOPOLSKIE",12,12,"wadowicki",18,18,"Wieprz (gmina wiejska)",10,10,"121810","Wieprz","Osiedle przy urzędzie Gminy.",1,2,1,0,,"2012-10-09 21:37"
271,"MAŁOPOLSKIE",12,12,"krakowski",6,"06","Zabierzów (gmina wiejska)",16,16,"120616","Radwanowice",,1,5,1,0,,"2012-10-09 21:37"
272,"LĽSKIE",24,24,"tarnogórski",13,13,"Zbrosławice (gmina wiejska)",9,"09","241309","Zbrosławice","ul. Ogrodowa",1,3,1,0,,"2012-10-09 21:40"
273,"MAZOWIECKIE",14,14,"ostrołęcki",15,15,"Olszewo-Borki (gmina wiejska)",9,"09","141509","Drężewo","Dębowa",1,1,3,0,"Brak możliwoci technicznych dla usług szerokopasmowych powyżej 10Mb/s.","2012-10-09 21:40"
274,"MAZOWIECKIE",14,14,"mławski",13,13,"Stupsk (gmina wiejska)",6,"06","141306","Wyszyny Kocielne","(kolonia, kiedy pod nazwš Wyszyny Stare)",1,1,1,0,,"2012-10-09 21:41"
275,"MAZOWIECKIE",14,14,"nowodworski",14,14,"Nasielsk (gmina miejsko-wiejska)",4,"04","141404","Żabiczyn",,1,3,1,0,,"2012-10-09 21:41"
276,"MAZOWIECKIE",14,14,"kozienicki",7,"07","Grabów nad Pilicš (gmina wiejska)",4,"04","140704","Lipinki",,1,4,1,0,,"2012-10-09 21:57"
